 ;hut::HUT                                                 ,    hkcode , winput::Vk              , windows::VIRTUAL_KEY                   , vkcode ,make1code , enigo::Key                              , #[cfg(enigo::Key)] , xkeysym::Keysym                   ,  keysym_code , macos::KeyCode                          , cgcode ,
 KeyboardKeypad::Keyboard2andAt                            ,   0x7001F , Vk::_2                  , VK_2                                   ,  0x32  ,     0x03 , Enigo::Num2                             , #[windows]         , Keysym::_2                        ,       0x0032 , KeyCodeExt::kVK_ANSI_2                  ,  0x13  ,
 KeyboardKeypad::Keyboard3andHash                          ,   0x70020 , Vk::_3                  , VK_3                                   ,  0x33  ,     0x04 , Enigo::Num3                             , #[windows]         , Keysym::_3                        ,       0x0033 , KeyCodeExt::kVK_ANSI_3                  ,  0x14  ,
 KeyboardKeypad::Keyboard4andDollar                        ,   0x70021 , Vk::_4                  , VK_4                                   ,  0x34  ,     0x05 , Enigo::Num4                             , #[windows]         , Keysym::_4                        ,       0x0034 , KeyCodeExt::kVK_ANSI_4                  ,  0x15  ,
 KeyboardKeypad::Keyboard5andPercent                       ,   0x70022 , Vk::_5                  , VK_5                                   ,  0x35  ,     0x06 , Enigo::Num5                             , #[windows]         , Keysym::_5                        ,       0x0035 , KeyCodeExt::kVK_ANSI_5                  ,  0x17  ,
 KeyboardKeypad::Keyboard6andCaret                         ,   0x70023 , Vk::_6                  , VK_6                                   ,  0x36  ,     0x07 , Enigo::Num6                             , #[windows]         , Keysym::_6                        ,       0x0036 , KeyCodeExt::kVK_ANSI_6                  ,  0x16  ,
 KeyboardKeypad::Keyboard7andAmpersand                     ,   0x70024 , Vk::_7                  , VK_7                                   ,  0x37  ,     0x08 , Enigo::Num7                             , #[windows]         , Keysym::_7                        ,       0x0037 , KeyCodeExt::kVK_ANSI_7                  ,  0x1A  ,
 KeyboardKeypad::Keyboard8andStar                          ,   0x70025 , Vk::_8                  , VK_8                                   ,  0x38  ,     0x09 , Enigo::Num8                             , #[windows]         , Keysym::_8                        ,       0x0038 , KeyCodeExt::kVK_ANSI_8                  ,  0x1C  ,
 KeyboardKeypad::Keyboard9andLeftBracket                   ,   0x70026 , Vk::_9                  , VK_9                                   ,  0x39  ,     0x0A , Enigo::Num9                             , #[windows]         , Keysym::_9                        ,       0x0039 , KeyCodeExt::kVK_ANSI_9                  ,  0x19  ,
 KeyboardKeypad::KeyboardA                                 ,   0x70004 , Vk::A                   , VK_A                                   ,  0x41  ,     0x1E , Enigo::A                                , #[windows]         , Keysym::A                         ,       0x0041 , KeyCodeExt::kVK_ANSI_A                  ,  0x00  ,
 KeyboardKeypad::KeyboardApplication                       ,   0x70065 , Vk::Apps                , VK_APPS                                ,  0x5D  ,   0xE05D , Enigo::Apps                             , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 KeyboardKeypad::KeyboardB                                 ,   0x70005 , Vk::B                   , VK_B                                   ,  0x42  ,     0x30 , Enigo::B                                , #[windows]         , Keysym::B                         ,       0x0042 , KeyCodeExt::kVK_ANSI_B                  ,  0x0B  ,
 KeyboardKeypad::KeyboardBackslashandPipe                  ,   0x70031 , Vk::Oem5                , VK_OEM_5                               ,  0xDC  ,     0x2B , Enigo::OEM5                             , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 KeyboardKeypad::KeyboardC                                 ,   0x70006 , Vk::C                   , VK_C                                   ,  0x43  ,     0x2E , Enigo::C                                , #[windows]         , Keysym::C                         ,       0x0043 , KeyCodeExt::kVK_ANSI_C                  ,  0x08  ,
 KeyboardKeypad::KeyboardCancel                            ,   0x7009B , Vk::Cancel              , VK_CANCEL                              ,  0x03  ,   0xE046 , Enigo::Cancel                           , #[windows|linux]   , Keysym::Cancel                    ,       0xFF69 , todo!(CG)                               ,        ,
 KeyboardKeypad::KeyboardCapsLock                          ,   0x70039 , Vk::CapsLock            , VK_CAPITAL                             ,  0x14  ,     0x3A , Enigo::CapsLock                         ,                    , Keysym::Caps_Lock                 ,       0xFFE5 , KeyCode::CAPS_LOCK                      ,  0x39  ,
 KeyboardKeypad::KeyboardClear                             ,   0x7009C , Vk::Clear               , VK_CLEAR                               ,  0x0C  ,     0x4C , Enigo::Clear                            , #[windows|linux]   , Keysym::Clear                     ,       0xFF0B , todo!(CG)                               ,        ,
 KeyboardKeypad::KeyboardCommaandLessThan                  ,   0x70036 , Vk::Comma               , VK_OEM_COMMA                           ,  0xBC  ,     0x33 , Enigo::OEMComma                         , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 KeyboardKeypad::KeyboardD                                 ,   0x70007 , Vk::D                   , VK_D                                   ,  0x44  ,     0x20 , Enigo::D                                , #[windows]         , Keysym::D                         ,       0x0044 , KeyCodeExt::kVK_ANSI_D                  ,  0x02  ,
 KeyboardKeypad::KeyboardDashandUnderscore                 ,   0x7002D , Vk::Minus               , VK_OEM_MINUS                           ,  0xBD  ,     0x0C , Enigo::OEMMinus                         , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 KeyboardKeypad::KeyboardDelete                            ,   0x7002A , Vk::Backspace           , VK_BACK                                ,  0x08  ,     0x0E , Enigo::Backspace                        ,                    , Keysym::BackSpace                 ,       0xFF08 , KeyCode::DELETE                         ,  0x33  ,
