 ;hut::HUT                                                 ,    hkcode , winput::Vk              , windows::VIRTUAL_KEY                   , vkcode ,make1code , enigo::Key                              , #[cfg(enigo::Key)] , xkeysym::Keysym                   ,  keysym_code , macos::KeyCode                          , cgcode ,
 KeyboardKeypad::KeyboardLeftShift*                        ,   0x700E1 , Vk::Shift               , VK_SHIFT                               ,  0x10  ,     0x2A , Enigo::Shift                            ,                    , Keysym::Shift_L*                  ,       0xFFE1 , KeyCode::SHIFT                          ,  0x38  ,
 KeyboardKeypad::KeyboardM                                 ,   0x70010 , Vk::M                   , VK_M                                   ,  0x4D  ,     0x32 , Enigo::M                                , #[windows]         , Keysym::M                         ,       0x004D , KeyCodeExt::kVK_ANSI_M                  ,  0x2E  ,
 KeyboardKeypad::KeyboardN                                 ,   0x70011 , Vk::N                   , VK_N                                   ,  0x4E  ,     0x31 , Enigo::N                                , #[windows]         , Keysym::N                         ,       0x004E , KeyCodeExt::kVK_ANSI_N                  ,  0x2D  ,
 KeyboardKeypad::KeyboardNonUSBackslashandPipe             ,   0x70064 , Vk::Oem102              , VK_OEM_102                             ,  0xE2  ,     0x56 , Enigo::OEM102                           , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 KeyboardKeypad::KeyboardO                                 ,   0x70012 , Vk::O                   , VK_O                                   ,  0x4F  ,     0x18 , Enigo::O                                , #[windows]         , Keysym::O                         ,       0x004F , KeyCodeExt::kVK_ANSI_O                  ,  0x1F  ,
 KeyboardKeypad::KeyboardP                                 ,   0x70013 , Vk::P                   , VK_P                                   ,  0x50  ,     0x19 , Enigo::P                                , #[windows]         , Keysym::P                         ,       0x0050 , KeyCodeExt::kVK_ANSI_P                  ,  0x23  ,
 KeyboardKeypad::KeyboardPageDown                          ,   0x7004E , Vk::PageDown            , VK_NEXT                                ,  0x22  ,     0x51 , Enigo::PageDown                         ,                    , Keysym::Page_Down                 ,       0xFF56 , KeyCode::PAGE_DOWN                      ,  0x79  ,
 KeyboardKeypad::KeyboardPageUp                            ,   0x7004B , Vk::PageUp              , VK_PRIOR                               ,  0x21  ,     0x49 , Enigo::PageUp                           ,                    , Keysym::Page_Up                   ,       0xFF55 , KeyCode::PAGE_UP                        ,  0x74  ,
 KeyboardKeypad::KeyboardPause                             ,   0x70048 , Vk::Pause               , VK_PAUSE                               ,  0x13  ,   0xE11D , Enigo::Pause                            , #[windows|linux]   , Keysym::Pause                     ,       0xFF13 , todo!(CG)                               ,        ,
 KeyboardKeypad::KeyboardPeriodandGreaterThan              ,   0x70037 , Vk::Period              , VK_OEM_PERIOD                          ,  0xBE  ,     0x34 , Enigo::OEMPeriod                        , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 KeyboardKeypad::KeyboardPrintScreen                       ,   0x70046 , Vk::PrintScreen         , VK_SNAPSHOT                            ,  0x2C  ,     0x54 , Enigo::PrintScr                         , #[windows|linux]   , Keysym::Print                     ,       0xFF61 , todo!(CG)                               ,        ,
 KeyboardKeypad::KeyboardPrintScreen*                      ,   0x70046 , Vk::PrintScreen*        , VK_SNAPSHOT*                           ,  0x2C  ,     0x54 , Enigo::Snapshot                         , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 KeyboardKeypad::KeyboardQ                                 ,   0x70014 , Vk::Q                   , VK_Q                                   ,  0x51  ,     0x10 , Enigo::Q                                , #[windows]         , Keysym::Q                         ,       0x0051 , KeyCodeExt::kVK_ANSI_Q                  ,  0x0C  ,
 KeyboardKeypad::KeyboardR                                 ,   0x70015 , Vk::R                   , VK_R                                   ,  0x52  ,     0x13 , Enigo::R                                , #[windows]         , Keysym::R                         ,       0x0052 , KeyCodeExt::kVK_ANSI_R                  ,  0x0F  ,
 KeyboardKeypad::KeyboardReturnEnter                       ,   0x70028 , Vk::Enter               , VK_RETURN                              ,  0x0D  ,     0x1C , Enigo::Return                           ,                    , Keysym::Return                    ,       0xFF0D , KeyCode::RETURN                         ,  0x24  ,
 KeyboardKeypad::KeyboardRightAlt                          ,   0x700E6 , Vk::RightMenu           , VK_RMENU                               ,  0xA5  ,   0xE038 , Enigo::RMenu                            , #[windows]         , Keysym::Alt_R                     ,       0xFFEA , KeyCode::RIGHT_OPTION*                  ,  0x3D  ,
 KeyboardKeypad::KeyboardRightAlt*                         ,   0x700E6 , Vk::RightMenu*          , VK_RMENU*                              ,  0xA5  ,   0xE038 , Enigo::ROption                          , #[macos]           , Keysym::Alt_R*                    ,       0xFFEA , KeyCode::RIGHT_OPTION                   ,  0x3D  ,
 KeyboardKeypad::KeyboardRightArrow                        ,   0x7004F , Vk::RightArrow          , VK_RIGHT                               ,  0x27  ,     0x4D , Enigo::RightArrow                       ,                    , Keysym::Right                     ,       0xFF53 , KeyCode::RIGHT_ARROW                    ,  0x7C  ,
 KeyboardKeypad::KeyboardRightBrace                        ,   0x70030 , Vk::Oem6                , VK_OEM_6                               ,  0xDD  ,     0x1B , Enigo::OEM6                             , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 KeyboardKeypad::KeyboardRightControl                      ,   0x700E4 , Vk::RightControl        , VK_RCONTROL                            ,  0xA3  ,   0xE01D , Enigo::RControl                         ,                    , Keysym::Control_R                 ,       0xFFE4 , KeyCode::RIGHT_CONTROL                  ,  0x3E  ,
 KeyboardKeypad::KeyboardRightGUI                          ,   0x700E7 , Vk::RightWin            , VK_RWIN                                ,  0x5C  ,   0xE05C , Enigo::RWin                             , #[windows]         , Keysym::Super_R                   ,       0xFFEC , KeyCode::RIGHT_COMMAND*                 ,  0x36  ,
 KeyboardKeypad::KeyboardRightGUI*                         ,   0x700E7 , Vk::RightWin*           , VK_RWIN*                               ,  0x5C  ,   0xE05C , Enigo::RCommand                         , #[macos]           , Keysym::Super_R*                  ,       0xFFEC , KeyCode::RIGHT_COMMAND                  ,  0x36  ,
 KeyboardKeypad::KeyboardRightShift                        ,   0x700E5 , Vk::RightShift          , VK_RSHIFT                              ,  0xA1  ,     0x36 , Enigo::RShift                           ,                    , Keysym::Shift_R                   ,       0xFFE2 , KeyCode::RIGHT_SHIFT                    ,  0x3C  ,
 KeyboardKeypad::KeyboardS                                 ,   0x70016 , Vk::S                   , VK_S                                   ,  0x53  ,     0x1F , Enigo::S                                , #[windows]         , Keysym::S                         ,       0x0053 , KeyCodeExt::kVK_ANSI_S                  ,  0x01  ,
 KeyboardKeypad::KeyboardScrollLock                        ,   0x70047 , Vk::Scroll              , VK_SCROLL                              ,  0x91  ,     0x46 , Enigo::Scroll                           , #[windows]         , Keysym::Scroll_Lock*              ,       0xFF14 , todo!(CG)                               ,        ,
 KeyboardKeypad::KeyboardScrollLock*                       ,   0x70047 , Vk::Scroll*             , VK_SCROLL*                             ,  0x91  ,     0x46 , Enigo::ScrollLock                       , #[linux]           , Keysym::Scroll_Lock               ,       0xFF14 , todo!(CG)                               ,        ,
 KeyboardKeypad::KeyboardSelect                            ,   0x70077 , Vk::Select              , VK_SELECT                              ,  0x29  ,          , Enigo::Select                           , #[windows|linux]   , Keysym::Select                    ,       0xFF60 , todo!(CG)                               ,        ,
 KeyboardKeypad::KeyboardSemiColonandColon                 ,   0x70033 , Vk::Oem1                , VK_OEM_1                               ,  0xBA  ,     0x27 , Enigo::OEM1                             , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 KeyboardKeypad::KeyboardSpacebar                          ,   0x7002C , Vk::Space               , VK_SPACE                               ,  0x20  ,     0x39 , Enigo::Space                            ,                    , Keysym::space                     ,       0x0020 , KeyCode::SPACE                          ,  0x31  ,
 KeyboardKeypad::KeyboardT                                 ,   0x70017 , Vk::T                   , VK_T                                   ,  0x54  ,     0x14 , Enigo::T                                , #[windows]         , Keysym::T                         ,       0x0054 , KeyCodeExt::kVK_ANSI_T                  ,  0x11  ,
 KeyboardKeypad::KeyboardTab                               ,   0x7002B , Vk::Tab                 , VK_TAB                                 ,  0x09  ,     0x0F , Enigo::Tab                              ,                    , Keysym::Tab                       ,       0xFF09 , KeyCode::TAB                            ,  0x30  ,
 KeyboardKeypad::KeyboardU                                 ,   0x70018 , Vk::U                   , VK_U                                   ,  0x55  ,     0x16 , Enigo::U                                , #[windows]         , Keysym::U                         ,       0x0055 , KeyCodeExt::kVK_ANSI_U                  ,  0x20  ,
 KeyboardKeypad::KeyboardUpArrow                           ,   0x70052 , Vk::UpArrow             , VK_UP                                  ,  0x26  ,     0x48 , Enigo::UpArrow                          ,                    , Keysym::Up                        ,       0xFF52 , KeyCode::UP_ARROW                       ,  0x7E  ,
 KeyboardKeypad::KeyboardV                                 ,   0x70019 , Vk::V                   , VK_V                                   ,  0x56  ,     0x2F , Enigo::V                                , #[windows]         , Keysym::V                         ,       0x0056 , KeyCodeExt::kVK_ANSI_V                  ,  0x09  ,
 KeyboardKeypad::KeyboardW                                 ,   0x7001A , Vk::W                   , VK_W                                   ,  0x57  ,     0x11 , Enigo::W                                , #[windows]         , Keysym::W                         ,       0x0057 , KeyCodeExt::kVK_ANSI_W                  ,  0x0D  ,
 KeyboardKeypad::KeyboardX                                 ,   0x7001B , Vk::X                   , VK_X                                   ,  0x58  ,     0x2D , Enigo::X                                , #[windows]         , Keysym::X                         ,       0x0058 , KeyCodeExt::kVK_ANSI_X                  ,  0x07  ,
 KeyboardKeypad::KeyboardY                                 ,   0x7001C , Vk::Y                   , VK_Y                                   ,  0x59  ,     0x15 , Enigo::Y                                , #[windows]         , Keysym::Y                         ,       0x0059 , KeyCodeExt::kVK_ANSI_Y                  ,  0x10  ,
 KeyboardKeypad::KeyboardZ                                 ,   0x7001D , Vk::Z                   , VK_Z                                   ,  0x5A  ,     0x2C , Enigo::Z                                , #[windows]         , Keysym::Z                         ,       0x005A , KeyCodeExt::kVK_ANSI_Z                  ,  0x06  ,
 KeyboardKeypad::Keypad0andInsert                          ,   0x70062 , Vk::Numpad0             , VK_NUMPAD0                             ,  0x60  ,     0x52 , Enigo::Numpad0                          , #[windows]         , Keysym::KP_0                      ,       0xFFB0 , KeyCodeExt::kVK_ANSI_Keypad0            ,  0x52  ,
 KeyboardKeypad::Keypad1andEnd                             ,   0x70059 , Vk::Numpad1             , VK_NUMPAD1                             ,  0x61  ,     0x4F , Enigo::Numpad1                          , #[windows]         , Keysym::KP_1                      ,       0xFFB1 , KeyCodeExt::kVK_ANSI_Keypad1            ,  0x53  ,
 KeyboardKeypad::Keypad2andDownArrow                       ,   0x7005A , Vk::Numpad2             , VK_NUMPAD2                             ,  0x62  ,     0x50 , Enigo::Numpad2                          , #[windows]         , Keysym::KP_2                      ,       0xFFB2 , KeyCodeExt::kVK_ANSI_Keypad2            ,  0x54  ,
 KeyboardKeypad::Keypad3andPageDn                          ,   0x7005B , Vk::Numpad3             , VK_NUMPAD3                             ,  0x63  ,     0x51 , Enigo::Numpad3                          , #[windows]         , Keysym::KP_3                      ,       0xFFB3 , KeyCodeExt::kVK_ANSI_Keypad3            ,  0x55  ,
 KeyboardKeypad::Keypad4andLeftArrow                       ,   0x7005C , Vk::Numpad4             , VK_NUMPAD4                             ,  0x64  ,     0x4B , Enigo::Numpad4                          , #[windows]         , Keysym::KP_4                      ,       0xFFB4 , KeyCodeExt::kVK_ANSI_Keypad4            ,  0x56  ,
 KeyboardKeypad::Keypad5                                   ,   0x7005D , Vk::Numpad5             , VK_NUMPAD5                             ,  0x65  ,     0x4C , Enigo::Numpad5                          , #[windows]         , Keysym::KP_5                      ,       0xFFB5 , KeyCodeExt::kVK_ANSI_Keypad5            ,  0x57  ,
 KeyboardKeypad::Keypad6andRightArrow                      ,   0x7005E , Vk::Numpad6             , VK_NUMPAD6                             ,  0x66  ,     0x4D , Enigo::Numpad6                          , #[windows]         , Keysym::KP_6                      ,       0xFFB6 , KeyCodeExt::kVK_ANSI_Keypad6            ,  0x58  ,
 KeyboardKeypad::Keypad7andHome                            ,   0x7005F , Vk::Numpad7             , VK_NUMPAD7                             ,  0x67  ,     0x47 , Enigo::Numpad7                          , #[windows]         , Keysym::KP_7                      ,       0xFFB7 , KeyCodeExt::kVK_ANSI_Keypad7            ,  0x59  ,
 KeyboardKeypad::Keypad8andUpArrow                         ,   0x70060 , Vk::Numpad8             , VK_NUMPAD8                             ,  0x68  ,     0x48 , Enigo::Numpad8                          , #[windows]         , Keysym::KP_8                      ,       0xFFB8 , KeyCodeExt::kVK_ANSI_Keypad8            ,  0x5B  ,
 KeyboardKeypad::Keypad9andPageUp                          ,   0x70061 , Vk::Numpad9             , VK_NUMPAD9                             ,  0x69  ,     0x49 , Enigo::Numpad9                          , #[windows]         , Keysym::KP_9                      ,       0xFFB9 , KeyCodeExt::kVK_ANSI_Keypad9            ,  0x5C  ,
 KeyboardKeypad::KeypadDash                                ,   0x70056 , Vk::Subtract            , VK_SUBTRACT                            ,  0x6D  ,     0x4A , Enigo::Subtract                         , #[windows]         , Keysym::KP_Subtract               ,       0xFFAD , KeyCodeExt::kVK_ANSI_KeypadMinus        ,  0x4E  ,
 KeyboardKeypad::KeypadForwardSlash                        ,   0x70054 , Vk::Divide              , VK_DIVIDE                              ,  0x6F  ,   0xE035 , Enigo::Divide                           , #[windows]         , Keysym::KP_Divide                 ,       0xFFAF , KeyCodeExt::kVK_ANSI_KeypadDivide       ,  0x4B  ,
 KeyboardKeypad::KeypadNumLockandClear                     ,   0x70053 , Vk::Numlock             , VK_NUMLOCK                             ,  0x90  ,     0x45 , Enigo::Numlock                          , #[windows|linux]   , Keysym::Num_Lock                  ,       0xFF7F , todo!(CG)                               ,        ,
 KeyboardKeypad::KeypadPeriodandDelete                     ,   0x70063 , Vk::Decimal             , VK_DECIMAL                             ,  0x6E  ,     0x53 , Enigo::Decimal                          , #[windows]         , Keysym::KP_Decimal                ,       0xFFAE , KeyCodeExt::kVK_ANSI_KeypadDecimal      ,  0x41  ,
 KeyboardKeypad::KeypadPlus                                ,   0x70057 , Vk::Add                 , VK_ADD                                 ,  0x6B  ,     0x4E , Enigo::Add                              , #[windows]         , Keysym::KP_Add                    ,       0xFFAB , KeyCodeExt::kVK_ANSI_KeypadPlus         ,  0x45  ,
 KeyboardKeypad::KeypadStar                                ,   0x70055 , Vk::Multiply            , VK_MULTIPLY                            ,  0x6A  ,     0x37 , Enigo::Multiply                         , #[windows]         , Keysym::KP_Multiply               ,       0xFFAA , KeyCodeExt::kVK_ANSI_KeypadMultiply     ,  0x43  ,
 na!(HUT)                                                  ,           , na!(Vk)                 , todo!(VK_)                             ,        ,          , Enigo::F25                              , #[linux]           , Keysym::F25                       ,       0xFFD6 , todo!(CG)                               ,        ,
 na!(HUT)                                                  ,           , na!(Vk)                 , todo!(VK_)                             ,        ,          , Enigo::F26                              , #[linux]           , Keysym::F26                       ,       0xFFD7 , todo!(CG)                               ,        ,
 na!(HUT)                                                  ,           , na!(Vk)                 , todo!(VK_)                             ,        ,          , Enigo::F27                              , #[linux]           , Keysym::F27                       ,       0xFFD8 , todo!(CG)                               ,        ,
 na!(HUT)                                                  ,           , na!(Vk)                 , todo!(VK_)                             ,        ,          , Enigo::F28                              , #[linux]           , Keysym::F28                       ,       0xFFD9 , todo!(CG)                               ,        ,
 na!(HUT)                                                  ,           , na!(Vk)                 , todo!(VK_)                             ,        ,          , Enigo::F29                              , #[linux]           , Keysym::F29                       ,       0xFFDA , todo!(CG)                               ,        ,
 na!(HUT)                                                  ,           , na!(Vk)                 , todo!(VK_)                             ,        ,          , Enigo::F30                              , #[linux]           , Keysym::F30                       ,       0xFFDB , todo!(CG)                               ,        ,
 na!(HUT)                                                  ,           , na!(Vk)                 , todo!(VK_)                             ,        ,          , Enigo::F31                              , #[linux]           , Keysym::F31                       ,       0xFFDC , todo!(CG)                               ,        ,
 na!(HUT)                                                  ,           , na!(Vk)                 , todo!(VK_)                             ,        ,          , Enigo::F32                              , #[linux]           , Keysym::F32                       ,       0xFFDD , todo!(CG)                               ,        ,
 na!(HUT)                                                  ,           , na!(Vk)                 , todo!(VK_)                             ,        ,          , Enigo::F33                              , #[linux]           , Keysym::F33                       ,       0xFFDE , todo!(CG)                               ,        ,
 na!(HUT)                                                  ,           , na!(Vk)                 , todo!(VK_)                             ,        ,          , Enigo::F34                              , #[linux]           , Keysym::F34                       ,       0xFFDF , todo!(CG)                               ,        ,
 na!(HUT)                                                  ,           , na!(Vk)                 , todo!(VK_)                             ,        ,          , Enigo::F35                              , #[linux]           , Keysym::F35                       ,       0xFFE0 , todo!(CG)                               ,        ,
 none!(HUT)                                                ,           , none!(Vk)               , VK__none_                              ,  0xFF  ,          , Enigo::None                             , #[windows]         , none!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , todo!(VK_)                             ,        ,          , Enigo::Begin                            , #[linux]           , Keysym::Begin                     ,       0xFF58 , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , todo!(VK_)                             ,        ,          , Enigo::Break                            , #[linux]           , Keysym::Break                     ,       0xFF6B , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , todo!(VK_)                             ,        ,          , Enigo::BrightnessDown                   , #[macos]           , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , todo!(VK_)                             ,        ,          , Enigo::BrightnessUp                     , #[macos]           , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , todo!(VK_)                             ,        ,          , Enigo::ContrastDown                     , #[macos]           , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , todo!(VK_)                             ,        ,          , Enigo::ContrastUp                       , #[macos]           , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , todo!(VK_)                             ,        ,          , Enigo::Eject                            , #[macos]           , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , todo!(VK_)                             ,        ,          , Enigo::Find                             , #[linux]           , Keysym::Find                      ,       0xFF68 , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , todo!(VK_)                             ,        ,          , Enigo::Function                         , #[macos]           , todo!(Keysym)                     ,              , KeyCode::FUNCTION                       ,  0x3F  ,
 todo!(HUT)                                                ,           , na!(Vk)                 , todo!(VK_)                             ,        ,          , Enigo::IlluminationDown                 , #[macos]           , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , todo!(VK_)                             ,        ,          , Enigo::IlluminationToggle               , #[macos]           , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , todo!(VK_)                             ,        ,          , Enigo::IlluminationUp                   , #[macos]           , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , todo!(VK_)                             ,        ,          , Enigo::Launchpad                        , #[macos]           , todo!(Keysym)                     ,              , CGKeyCode(131).0                        ,  0x83  ,
 todo!(HUT)                                                ,           , na!(Vk)                 , todo!(VK_)                             ,        ,          , Enigo::LaunchPanel                      , #[macos]           , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , todo!(VK_)                             ,        ,          , Enigo::Linefeed                         , #[linux]           , Keysym::Linefeed                  ,       0xFF0A , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , todo!(VK_)                             ,        ,          , Enigo::MediaFast                        , #[macos]           , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , todo!(VK_)                             ,        ,          , Enigo::MediaRewind                      , #[macos]           , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , todo!(VK_)                             ,        ,          , Enigo::MicMute                          , #[linux]           , Keysym::XF86_AudioMicMute         ,   0x1008FFB2 , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , todo!(VK_)                             ,        ,          , Enigo::MissionControl                   , #[macos]           , todo!(Keysym)                     ,              , CGKeyCode(160).0                        ,  0xA0  ,
 todo!(HUT)                                                ,           , na!(Vk)                 , todo!(VK_)                             ,        ,          , Enigo::Power                            , #[macos]           , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , todo!(VK_)                             ,        ,          , Enigo::Redo                             , #[linux]           , Keysym::Redo                      ,       0xFF66 , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , todo!(VK_)                             ,        ,          , Enigo::ScriptSwitch                     , #[linux]           , Keysym::script_switch             ,       0xFF7E , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , todo!(VK_)                             ,        ,          , Enigo::ShiftLock                        , #[linux]           , Keysym::Shift_Lock                ,       0xFFE6 , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , todo!(VK_)                             ,        ,          , Enigo::SysReq                           , #[linux]           , Keysym::Sys_Req                   ,       0xFF15 , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , todo!(VK_)                             ,        ,          , Enigo::Undo                             , #[linux]           , Keysym::Undo                      ,       0xFF65 , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , todo!(VK_)                             ,        ,          , Enigo::VidMirror                        , #[macos]           , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_ABNT_C1                             ,  0xC1  ,     0x73 , Enigo::AbntC1                           , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_ABNT_C2                             ,  0xC2  ,     0x7E , Enigo::AbntC2                           , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_ATTN                                ,  0xF6  ,          , Enigo::Attn                             , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_CRSEL                               ,  0xF7  ,          , Enigo::Crsel                            , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_DBE_ALPHANUMERIC                    ,  0xF0  ,          , Enigo::DBEAlphanumeric                  , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_DBE_CODEINPUT                       ,  0xFA  ,          , Enigo::DBECodeinput                     , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_DBE_DBCSCHAR                        ,  0xF4  ,          , Enigo::DBESChar                         , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_DBE_DETERMINESTRING                 ,  0xFC  ,          , Enigo::DBEDetermineString               , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_DBE_ENTERDLGCONVERSIONMODE          ,  0xFD  ,          , Enigo::DBEEnterDLGConversionMode        , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_DBE_ENTERIMECONFIGMODE              ,  0xF8  ,          , Enigo::DBEEnterIMEConfigMode            , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_DBE_ENTERWORDREGISTERMODE           ,  0xF7  ,          , Enigo::DBEEnterWordRegisterMode         , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_DBE_FLUSHSTRING                     ,  0xF9  ,     0x5D , Enigo::DBEFlushString                   , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_DBE_HIRAGANA                        ,  0xF2  ,          , Enigo::DBEHiragana                      , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_DBE_KATAKANA                        ,  0xF1  ,     0x5B , Enigo::DBEKatakana                      , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_DBE_NOCODEINPUT                     ,  0xFB  ,     0x62 , Enigo::DBENoCodepoint                   , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_DBE_NOROMAN                         ,  0xF6  ,          , Enigo::DBENoRoman                       , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_DBE_ROMAN                           ,  0xF5  ,     0x5E , Enigo::DBERoman                         , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_DBE_SBCSCHAR                        ,  0xF3  ,     0x5F , Enigo::DBESBCSChar                      , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_EREOF                               ,  0xF9  ,     0x5D , Enigo::Ereof                            , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_EXSEL                               ,  0xF8  ,          , Enigo::Exsel                            , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_GAMEPAD_A                           ,  0xC3  ,          , Enigo::GamepadA                         , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_GAMEPAD_B                           ,  0xC4  ,          , Enigo::GamepadB                         , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_GAMEPAD_DPAD_DOWN                   ,  0xCC  ,          , Enigo::GamepadDPadDown                  , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_GAMEPAD_DPAD_LEFT                   ,  0xCD  ,          , Enigo::GamepadDPadLeft                  , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_GAMEPAD_DPAD_RIGHT                  ,  0xCE  ,          , Enigo::GamepadDPadRight                 , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_GAMEPAD_DPAD_UP                     ,  0xCB  ,          , Enigo::GamepadDPadUp                    , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_GAMEPAD_LEFT_SHOULDER               ,  0xC8  ,          , Enigo::GamepadLeftShoulder              , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_GAMEPAD_LEFT_THUMBSTICK_BUTTON      ,  0xD1  ,          , Enigo::GamepadLeftThumbstickButton      , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
